START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07-13-19,6:15 PM,7:15 PM,Giants at Brewers,Miller Park - Milwaukee,Local TV: FOX ----- Local Radio: WTMJ 620,7-13-19,7-13-19,9:15 PM,10:15 PM,FALSE,TRUE,7-13-19,5:15 PM,6:15 PM,FREE,BUSY
07-14-19,1:10 PM,2:10 PM,Giants at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,7-14-19,7-14-19,4:10 PM,5:10 PM,FALSE,TRUE,7-14-19,12:10 PM,1:10 PM,FREE,BUSY
07-15-19,7:10 PM,8:10 PM,Braves at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-15-19,7-15-19,10:10 PM,11:10 PM,FALSE,TRUE,7-15-19,6:10 PM,7:10 PM,FREE,BUSY
07-16-19,7:10 PM,8:10 PM,Braves at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-16-19,7-16-19,10:10 PM,11:10 PM,FALSE,TRUE,7-16-19,6:10 PM,7:10 PM,FREE,BUSY
07-17-19,1:10 PM,2:10 PM,Braves at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-17-19,7-17-19,4:10 PM,5:10 PM,FALSE,TRUE,7-17-19,12:10 PM,1:10 PM,FREE,BUSY
07-22-19,7:10 PM,8:10 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-22-19,7-22-19,10:10 PM,11:10 PM,FALSE,TRUE,7-22-19,6:10 PM,7:10 PM,FREE,BUSY
07-23-19,7:10 PM,8:10 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-23-19,7-23-19,10:10 PM,11:10 PM,FALSE,TRUE,7-23-19,6:10 PM,7:10 PM,FREE,BUSY
07-24-19,1:10 PM,2:10 PM,Reds at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-24-19,7-24-19,4:10 PM,5:10 PM,FALSE,TRUE,7-24-19,12:10 PM,1:10 PM,FREE,BUSY
07-26-19,7:10 PM,8:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-26-19,7-26-19,10:10 PM,11:10 PM,FALSE,TRUE,7-26-19,6:10 PM,7:10 PM,FREE,BUSY
07-27-19,6:10 PM,7:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,7-27-19,7-27-19,9:10 PM,10:10 PM,FALSE,TRUE,7-27-19,5:10 PM,6:10 PM,FREE,BUSY
07-28-19,1:10 PM,2:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,7-28-19,7-28-19,4:10 PM,5:10 PM,FALSE,TRUE,7-28-19,12:10 PM,1:10 PM,FREE,BUSY
08-09-19,7:10 PM,8:10 PM,Rangers at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-9-19,8-9-19,10:10 PM,11:10 PM,FALSE,TRUE,8-9-19,6:10 PM,7:10 PM,FREE,BUSY
08-10-19,6:10 PM,7:10 PM,Rangers at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,8-10-19,8-10-19,9:10 PM,10:10 PM,FALSE,TRUE,8-10-19,5:10 PM,6:10 PM,FREE,BUSY
